,Name,Wert
4,pay_turn,0.037985588842462475
50,opmbd,0.03695100406434754
5,inv_turn,0.028104639148667575
74,capital_ratio,0.02578230126268984
64,intcov,0.02553262968013788
61,roe,0.02394750790041277
60,roce,0.022229132408416015
69,pe_exi,0.021592743700867112
63,npm,0.02086982457600771
19,cash_debt,0.02057208945796407
73,aftret_invcapx,0.020261809822608116
6,cash_conversion,0.019557809951852415
25,sale_nwc,0.017753257112330063
49,,
40,,
8,,
13,,
62,,
15,,
48,,
37,,
38,,
53,,
39,,
75,,
67,,
21,,
59,,
7,,
45,,
36,,
46,,
54,,
68,,
43,,
30,,
29,,
31,,
66,,
76,,
