,Name,Wert
5,lt_debt,0.0398969032820556
37,ggroup,0.03758142320341264
30,PEG_trailing,0.03605173029191852
1,PERMCO,0.03224148199310722
38,gsector,0.03215433074772815
19,debt_capital,0.03042722735945394
31,roe,0.030049806420095294
10,cfm,0.029974997885926336
24,cash_debt,0.029038636256673356
3,ps,0.028844552946668645
6,ptb,0.027823655517008595
29,npm,0.027725581452340452
27,ocf_lct,0.027599387391025014
26,dltt_be,0.027417162846582972
22,equity_invcap,0.027343297393450667
9,dpr,0.02729869463521334
7,GProf,0.026712791033179317
28,bm,0.026503900033895262
16,roa,0.025873320747344164
25,totdebt_invcap,0.025656457903116974
15,,
17,,
11,,
2,,
21,,
13,,
23,,
20,,
0,,
4,,
32,,
8,,
12,,
14,,
18,,
36,,
34,,
33,,
35,,
