,Name,Wert
4,pay_turn,0.037985588842462475
50,opmbd,0.03695100406434754
5,inv_turn,0.028104639148667575
74,capital_ratio,0.02578230126268984
64,intcov,0.02553262968013788
61,roe,0.02394750790041277
60,roce,0.022229132408416015
69,pe_exi,0.021592743700867112
63,npm,0.02086982457600771
19,cash_debt,0.02057208945796407
73,aftret_invcapx,0.020261809822608116
6,cash_conversion,0.019557809951852415
25,sale_nwc,0.017753257112330063
49,equity_invcap,0.017099544621282735
40,ptb,0.016735923100212907
8,rect_turn,0.01667580580347216
13,fcf_ocf,0.016675801066251272
62,pe_op_basic,0.016638031648241257
15,evm,0.015687327691246384
48,sale_invcap,0.015596400037762338
37,,
38,,
53,,
39,,
75,,
67,,
21,,
59,,
7,,
45,,
36,,
46,,
54,,
68,,
43,,
30,,
29,,
31,,
66,,
76,,
