,Name,Wert
4,pay_turn,0.037985588842462475
50,opmbd,0.03695100406434754
5,inv_turn,0.028104639148667575
74,capital_ratio,0.02578230126268984
64,intcov,0.02553262968013788
61,roe,0.02394750790041277
60,roce,0.022229132408416015
69,pe_exi,0.021592743700867112
